Time,Min,Max
20170102 020000,"1,234","1,23401"
20170102 020100,"1,23399","1,2345"
20170102 020200,"1,23423","1,23423"
20170102 020300,"1,23413","1,23415"
20170102 020400,"1,23416","1,23417"
20170102 020500,"1,23418","1,2342"
20170102 020600,"1,2342","1,2342"
20170102 020700,"1,23418","1,23418"
20170102 020800,"1,23403","1,23403"
20170102 021000,"1,23402","1,23402"
20170102 021100,"1,23381","1,23381"
20170102 021200,"1,23402","1,23402"
20170102 021300,"1,234","1,23402"
20170102 021500,"1,2338","1,23402"
20170102 021600,"1,23404","1,23404"
20170102 021700,"1,23402","1,23402"
20170102 021800,"1,23379","1,23379"
20170102 021900,"1,23378","1,23399"
20170102 022000,"1,23389","1,23389"
20170102 022100,"1,23392","1,23392"
20170102 022200,"1,23406","1,23406"
20170102 022300,"1,23407","1,23407"
20170102 022400,"1,234","1,23402"
20170102 022500,"1,23408","1,23448"
20170102 022600,"1,23442","1,23446"
20170102 022700,"1,2343","1,2343"
20170102 022800,"1,23417","1,23451"
20170102 022900,"1,23424","1,23424"
20170102 023000,"1,23427","1,23427"
20170102 023100,"1,23437","1,23437"
20170102 023200,"1,23437","1,23437"
20170102 023300,"1,23428","1,23439"
20170102 023400,"1,23438","1,23439"
20170102 023500,"1,23439","1,23446"
20170102 023600,"1,23439","1,23444"
20170102 023700,"1,23447","1,23447"
20170102 023800,"1,23428","1,23428"
20170102 023900,"1,23426","1,23453"
20170102 024000,"1,23437","1,23437"
20170102 024100,"1,23437","1,23441"
20170102 024200,"1,23438","1,23438"
20170102 024300,"1,23437","1,23437"
20170102 024400,"1,23436","1,23437"
20170102 024500,"1,23438","1,23439"
20170102 024600,"1,23439","1,2345"
20170102 024700,"1,23439","1,23439"
20170102 024800,"1,23432","1,23432"
20170102 024900,"1,23433","1,23433"
20170102 025000,"1,23408","1,2343"
20170102 025100,"1,23408","1,23408"
20170102 025300,"1,23414","1,2344"
20170102 025400,"1,23435","1,23443"
20170102 025500,"1,23441","1,23441"
20170102 025600,"1,23441","1,23441"
20170102 025700,"1,23446","1,23446"
20170102 025800,"1,23431","1,23433"
20170102 025900,"1,23431","1,2345"
20170102 030000,"1,23433","1,23433"
20170102 030100,"1,2343","1,2343"
20170102 030200,"1,23428","1,23429"
20170102 030300,"1,23428","1,2343"
20170102 030400,"1,23429","1,23431"
20170102 030500,"1,2343","1,23432"
20170102 030600,"1,23432","1,23432"
20170102 030700,"1,23431","1,23433"
20170102 030800,"1,2343","1,23431"
20170102 030900,"1,2343","1,23431"
20170102 031000,"1,2343","1,2343"
20170102 031100,"1,23411","1,23426"
20170102 031200,"1,23418","1,23423"
20170102 031300,"1,23412","1,23412"
20170102 031400,"1,23413","1,23413"
20170102 031500,"1,23397","1,23397"
20170102 031600,"1,23323","1,23364"
20170102 031700,"1,23346","1,23394"
20170102 031800,"1,23362","1,23381"
20170102 031900,"1,23358","1,23397"
20170102 032000,"1,23362","1,23391"
20170102 032100,"1,23355","1,23386"
20170102 032200,"1,23354","1,23357"
20170102 032300,"1,23346","1,23393"
20170102 032400,"1,23345","1,23391"
20170102 032500,"1,23369","1,23376"
20170102 032600,"1,2331","1,23323"
20170102 032700,"1,23255","1,2342"
20170102 032800,"1,23308","1,23308"
20170102 032900,"1,23298","1,23298"
20170102 033000,"1,2329","1,2329"
20170102 033100,"1,23284","1,2332"
20170102 033200,"1,2331","1,23364"
20170102 033300,"1,23302","1,23312"
20170102 033400,"1,23304","1,23313"
20170102 033500,"1,23293","1,23299"
20170102 033600,"1,23296","1,23382"
20170102 033700,"1,23333","1,23364"
20170102 033800,"1,23332","1,23332"
20170102 033900,"1,2327","1,2337"
20170102 034000,"1,23243","1,23306"
20170102 034100,"1,23306","1,23306"
20170102 034200,"1,2337","1,23376"
20170102 034300,"1,23365","1,23423"
20170102 034400,"1,23371","1,23387"
20170102 034500,"1,23377","1,23402"
20170102 034600,"1,23362","1,23362"
20170102 034700,"1,23321","1,23371"
20170102 034800,"1,23354","1,23383"
20170102 034900,"1,23346","1,23368"
20170102 035000,"1,23367","1,23368"
20170102 035100,"1,23344","1,23356"
20170102 035200,"1,23397","1,23397"
20170102 035300,"1,23347","1,23353"
20170102 035400,"1,2331","1,23377"
20170102 035500,"1,23369","1,23375"
20170102 035600,"1,23335","1,23339"
20170102 035700,"1,23327","1,23374"
20170102 035800,"1,23324","1,23331"
20170102 035900,"1,23284","1,23361"
20170102 040000,"1,23364","1,23368"
20170102 040100,"1,23276","1,23294"
20170102 040200,"1,23287","1,23293"
20170102 040300,"1,23284","1,23285"
20170102 040400,"1,2326","1,23268"
20170102 040500,"1,23262","1,23286"
20170102 040600,"1,23275","1,23275"
20170102 040700,"1,23266","1,23267"
20170102 040800,"1,23267","1,23292"
20170102 040900,"1,23292","1,23292"
20170102 041000,"1,23278","1,23284"
20170102 041100,"1,23282","1,23342"
20170102 041200,"1,23287","1,23331"
20170102 041300,"1,23304","1,23327"
20170102 041400,"1,23312","1,23334"
20170102 041500,"1,2331","1,23359"
20170102 041600,"1,23361","1,23394"
20170102 041700,"1,2335","1,23356"
20170102 041800,"1,2329","1,23316"
20170102 041900,"1,23253","1,23276"
20170102 042000,"1,23252","1,23266"
20170102 042100,"1,23262","1,23291"
20170102 042200,"1,23277","1,23283"
20170102 042300,"1,2326","1,2326"
20170102 042400,"1,23264","1,23285"
20170102 042500,"1,2328","1,23322"
20170102 042600,"1,23312","1,23313"
20170102 042700,"1,23331","1,23373"
20170102 042800,"1,23362","1,23363"
20170102 042900,"1,23338","1,23346"
20170102 043000,"1,23336","1,23342"
20170102 043100,"1,23339","1,23349"
20170102 043200,"1,23313","1,23319"
20170102 043300,"1,23313","1,23323"
20170102 043400,"1,23322","1,23325"
20170102 043500,"1,2331","1,2331"
20170102 043600,"1,2331","1,2331"
20170102 043700,"1,23274","1,23275"
20170102 043800,"1,23268","1,23269"
20170102 043900,"1,23269","1,23269"
20170102 044000,"1,23268","1,23268"
20170102 044100,"1,23255","1,23255"
20170102 044200,"1,23199","1,23202"
20170102 044300,"1,23198","1,23211"
20170102 044400,"1,23208","1,23282"
20170102 044500,"1,23234","1,23258"
20170102 044600,"1,23231","1,23232"
20170102 044700,"1,23229","1,2323"
20170102 044800,"1,23221","1,2323"
20170102 044900,"1,23225","1,2323"
20170102 045000,"1,2322","1,23236"
20170102 045100,"1,23229","1,23256"
20170102 045200,"1,23258","1,23264"
20170102 045300,"1,23249","1,23249"
20170102 045400,"1,23234","1,23241"
20170102 045500,"1,23239","1,23247"
20170102 045600,"1,23239","1,23253"
20170102 045700,"1,23256","1,23259"
20170102 045800,"1,23253","1,23253"
20170102 045900,"1,23245","1,23254"
20170102 050000,"1,23254","1,23295"
20170102 050100,"1,23256","1,23256"
20170102 050200,"1,23252","1,23254"
20170102 050300,"1,23248","1,23248"
20170102 050400,"1,23247","1,23247"
20170102 050500,"1,23247","1,23247"
20170102 050600,"1,23247","1,23266"
20170102 050700,"1,23254","1,23254"
20170102 050800,"1,2325","1,23253"
20170102 050900,"1,23253","1,2326"
20170102 051000,"1,23246","1,23249"
20170102 051100,"1,23192","1,23199"
20170102 051200,"1,23187","1,23198"
20170102 051300,"1,23187","1,23193"
20170102 051400,"1,23179","1,23211"
20170102 051500,"1,23189","1,23219"
20170102 051600,"1,23196","1,23237"
20170102 051700,"1,2318","1,23186"
20170102 051800,"1,23176","1,2318"
20170102 051900,"1,23174","1,23182"
20170102 052000,"1,23182","1,23182"
20170102 052100,"1,23148","1,23158"
20170102 052200,"1,23138","1,23147"
20170102 052300,"1,23132","1,2316"
20170102 052400,"1,23137","1,23176"
20170102 052500,"1,23107","1,23115"
20170102 052600,"1,23036","1,23037"
20170102 052700,"1,23018","1,23022"
20170102 052800,"1,22986","1,22987"
20170102 052900,"1,22978","1,22994"
20170102 053000,"1,2299","1,22996"
20170102 053100,"1,22991","1,23022"
20170102 053200,"1,22987","1,23039"
20170102 053300,"1,23028","1,23042"
20170102 053400,"1,23033","1,23038"
20170102 053500,"1,23038","1,23038"
20170102 053600,"1,23034","1,23052"
20170102 053700,"1,2304","1,23054"
20170102 053800,"1,23042","1,23103"
20170102 053900,"1,23058","1,23094"
20170102 054000,"1,23064","1,23096"
20170102 054100,"1,23071","1,23101"
20170102 054200,"1,23036","1,23077"
20170102 054300,"1,23063","1,231"
20170102 054400,"1,23093","1,23093"
20170102 054500,"1,23075","1,23097"
20170102 054600,"1,2308","1,23091"
20170102 054700,"1,2307","1,23073"
20170102 054800,"1,23044","1,23058"
20170102 054900,"1,23036","1,23054"
20170102 055000,"1,23024","1,23029"
20170102 055100,"1,23024","1,23024"
20170102 055200,"1,23018","1,23024"
20170102 055300,"1,23019","1,23049"
20170102 055400,"1,23045","1,23046"
20170102 055500,"1,23042","1,23049"
20170102 055600,"1,23052","1,23052"
20170102 055700,"1,23041","1,23043"
20170102 055800,"1,23018","1,23036"
20170102 055900,"1,23012","1,23033"
20170102 060000,"1,23011","1,23012"
20170102 060100,"1,23005","1,23041"
20170102 060200,"1,2304","1,23042"
20170102 060300,"1,23031","1,23031"
20170102 060400,"1,23024","1,23034"
20170102 060500,"1,23034","1,23034"
20170102 060600,"1,23022","1,23022"
20170102 060700,"1,22934","1,22934"
20170102 060800,"1,22914","1,22931"
20170102 060900,"1,22918","1,22918"
20170102 061000,"1,22917","1,22935"
20170102 061100,"1,22922","1,22922"
20170102 061200,"1,22918","1,22918"
20170102 061300,"1,22923","1,22928"
20170102 061400,"1,22932","1,22952"
20170102 061500,"1,22955","1,22956"
20170102 061600,"1,22954","1,22954"
20170102 061700,"1,22952","1,22952"
20170102 061800,"1,22951","1,22952"
20170102 061900,"1,2295","1,22952"
20170102 062000,"1,22958","1,22965"
20170102 062100,"1,22969","1,22971"
20170102 062200,"1,22962","1,22962"
20170102 062300,"1,22956","1,22956"
20170102 062400,"1,22954","1,22954"
20170102 062500,"1,22954","1,22954"
20170102 062600,"1,2295","1,2295"
20170102 062700,"1,22923","1,22956"
20170102 062800,"1,22954","1,22957"
20170102 062900,"1,22899","1,22899"
20170102 063000,"1,22899","1,22904"
20170102 063100,"1,22905","1,22947"
20170102 063200,"1,22945","1,22962"
20170102 063300,"1,22923","1,22923"
20170102 063400,"1,22924","1,22933"
20170102 063500,"1,22948","1,23009"
20170102 063600,"1,23","1,23"
20170102 063700,"1,22931","1,2303"
20170102 063800,"1,22986","1,23018"
20170102 063900,"1,2301","1,2302"
20170102 064000,"1,23015","1,23024"
20170102 064100,"1,23023","1,23024"
20170102 064200,"1,22979","1,22992"
20170102 064300,"1,22975","1,22975"
20170102 064400,"1,22975","1,23014"
20170102 064500,"1,23005","1,23018"
20170102 064600,"1,23014","1,23019"
20170102 064700,"1,22988","1,23"
20170102 064800,"1,22975","1,23"
20170102 064900,"1,22968","1,2297"
20170102 065000,"1,22963","1,22983"
20170102 065100,"1,2297","1,22995"
20170102 065200,"1,22965","1,22972"
20170102 065300,"1,22957","1,23009"
20170102 065400,"1,23005","1,2301"
20170102 065500,"1,22987","1,22987"
20170102 065600,"1,22999","1,23"
20170102 065700,"1,22996","1,23004"
20170102 065800,"1,22979","1,22984"
20170102 065900,"1,22981","1,22985"
20170102 070000,"1,22994","1,22994"
20170102 070100,"1,22982","1,22982"
20170102 070200,"1,22979","1,22983"
20170102 070300,"1,22983","1,22995"
20170102 070400,"1,22988","1,22989"
20170102 070500,"1,22968","1,22971"
20170102 070600,"1,22971","1,23002"
20170102 070700,"1,22962","1,22967"
20170102 070800,"1,22962","1,22965"
20170102 070900,"1,22958","1,2296"
20170102 071000,"1,22958","1,22959"
20170102 071100,"1,22958","1,22963"
20170102 071200,"1,22959","1,22962"
20170102 071300,"1,22958","1,22959"
20170102 071400,"1,22958","1,22958"
20170102 071500,"1,22958","1,22969"
20170102 071600,"1,22969","1,22969"
20170102 071700,"1,22967","1,22996"
20170102 071800,"1,22946","1,22962"
20170102 071900,"1,22953","1,22967"
20170102 072000,"1,22955","1,22959"
20170102 072100,"1,22956","1,22959"
20170102 072200,"1,22954","1,22961"
20170102 072300,"1,22959","1,22982"
20170102 072400,"1,22982","1,22985"
20170102 072500,"1,22953","1,22961"
20170102 072600,"1,22951","1,22954"
20170102 072700,"1,22952","1,22958"
20170102 072800,"1,22956","1,22957"
20170102 072900,"1,22957","1,22959"
20170102 073000,"1,22954","1,22954"
20170102 073100,"1,22949","1,22956"
20170102 073200,"1,2295","1,22972"
20170102 073300,"1,22972","1,22972"
20170102 073400,"1,22951","1,22953"
20170102 073500,"1,22949","1,22985"
20170102 073600,"1,22972","1,22972"
20170102 073700,"1,22943","1,22948"
20170102 073800,"1,22945","1,22975"
20170102 073900,"1,22975","1,22975"
20170102 074000,"1,22959","1,22975"
20170102 074100,"1,22975","1,22975"
20170102 074200,"1,22954","1,22973"
20170102 074300,"1,22971","1,22996"
20170102 074400,"1,22992","1,23016"
20170102 074500,"1,22981","1,23014"
20170102 074600,"1,22965","1,23016"
20170102 074700,"1,22961","1,22965"
20170102 074800,"1,2296","1,22961"
20170102 074900,"1,22957","1,22957"
20170102 075000,"1,22955","1,22957"
20170102 075100,"1,22955","1,22976"
20170102 075200,"1,22968","1,22985"
20170102 075300,"1,22953","1,22953"
20170102 075400,"1,22951","1,22955"
20170102 075500,"1,22945","1,22949"
20170102 075600,"1,22931","1,22933"
20170102 075700,"1,22924","1,22931"
20170102 075800,"1,2293","1,2293"
20170102 075900,"1,22913","1,22922"
20170102 080000,"1,22904","1,22924"
20170102 080100,"1,22919","1,22921"
20170102 080200,"1,22868","1,22883"
20170102 080300,"1,22876","1,22878"
20170102 080400,"1,22876","1,22878"
20170102 080500,"1,22877","1,22881"
20170102 080600,"1,22878","1,2288"
20170102 080700,"1,22876","1,22885"
20170102 080800,"1,22876","1,22876"
20170102 080900,"1,22868","1,22881"
20170102 081000,"1,2288","1,22888"
20170102 081100,"1,2288","1,2288"
20170102 081200,"1,2288","1,2288"
20170102 081300,"1,22859","1,22865"
20170102 081400,"1,22875","1,22911"
20170102 081500,"1,22908","1,22913"
20170102 081600,"1,22911","1,22917"
20170102 081700,"1,22906","1,22926"
20170102 081800,"1,22908","1,22922"
20170102 081900,"1,22912","1,22924"
20170102 082000,"1,22919","1,22925"
20170102 082100,"1,22922","1,22925"
20170102 082200,"1,22924","1,22925"
20170102 082300,"1,22917","1,22917"
